profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
vp of east coast operations ,0,IL,MORTGAGE,"200,000",5.54,1981,27,311281,"21,309",other,1650,36,7.35,51,2014,5,,18-Jan
implementation tech,5,FL,OWN,"50,000",3.44,1981,22,44625,"6,832",debt_consolidation,4000,36,5.32,120,4638,12,,18-Jan
driver,0,AZ,RENT,"64,000",1.03,1981,15,9000,914,other,23000,36,6.72,707,27637,71,,18-Feb
sales,5,OK,OWN,"70,000",48.24,1982,42,322311,"133,138",medical,25000,36,13.59,849,35193,85,,18-Jan
teacher,9,AR,MORTGAGE,"50,000",36.75,1982,31,246210,"51,523",credit_card,19000,60,19.03,493,37079,49,,18-Feb
store manager ,8,CA,RENT,"75,000",34.56,1982,31,140698,"71,794",debt_consolidation,17500,36,6.72,538,21028,54,,18-Jan
,,FL,OWN,"44,000",32.77,1982,40,91700,"27,593",debt_consolidation,8400,36,9.44,269,10779,27,,18-Jan
physical therapist,10,NJ,OWN,"65,000",30.26,1982,19,239339,"168,130",major_purchase,23500,60,9.93,499,35168,50,,18-Jan
vice president,10,NY,MORTGAGE,"170,000",29.61,1982,29,748662,"475,540",debt_consolidation,10000,36,7.35,310,12205,31,,18-Jan
owner,10,OH,MORTGAGE,"116,000",29.26,1982,49,493047,"111,553",debt_consolidation,20000,36,7.35,621,24410,62,,18-Feb
senior cohort sales advisor,3,VA,RENT,"200,000",27.4,1982,25,1598627,"161,087",debt_consolidation,20000,60,9.93,424,29930,42,,18-Jan
,,CO,OWN,"21,120",27.33,1982,7,21148,"12,082",home_improvement,6000,36,12.62,201,8272,20,,18-Jan
inspector/packer,10,AZ,RENT,"65,000",27.1,1982,26,87123,"56,137",debt_consolidation,10000,60,15.05,238,17525,24,,18-Jan
office assistant,10,SC,OWN,"47,000",26.56,1982,36,82779,"23,886",debt_consolidation,29975,36,20,"1,114",47960,111,,18-Feb
technical writer,0,OH,MORTGAGE,"85,000",26.27,1982,33,287054,"150,247",debt_consolidation,30000,60,11.98,667,47970,67,,18-Mar
locksmith,10,MA,OWN,"44,000",25.64,1982,24,110339,"16,700",credit_card,12000,60,10.91,260,18546,26,,18-Jan
accountant,10,OK,OWN,"55,000",25.4,1982,32,180440,"43,426",home_improvement,12000,60,9.92,255,17952,25,,18-Mar
office manager,10,IL,MORTGAGE,"73,000",24.38,1982,48,194873,"57,185",debt_consolidation,20000,60,9.44,419,29440,42,,18-Jan
driver,3,CT,RENT,"60,000",24.14,1982,18,63882,"37,653",debt_consolidation,30000,60,20,795,60000,79,,18-Feb
director,5,TX,MORTGAGE,"80,000",24.09,1982,29,120808,"101,746",credit_card,16000,60,19.42,419,31536,42,,18-Mar
loan officer,5,NJ,RENT,"54,000",23.16,1982,25,149089,"18,672",debt_consolidation,10000,36,5.32,301,11596,30,,18-Jan
general manager,2,NJ,MORTGAGE,"100,000",22.93,1982,49,577725,"113,453",debt_consolidation,15000,36,6.08,457,17736,46,,18-Feb
nurse practitioner ,0,SC,MORTGAGE,"105,000",21.68,1982,49,720131,"301,518",debt_consolidation,36000,36,9.93,"1,160",46724,116,,18-Jan
loan assistant/credit analyst,2,TX,RENT,"43,000",20.26,1982,10,45979,"16,449",major_purchase,1000,36,18.45,36,1554,4,,18-Mar
,,FL,OWN,"24,000",19.8,1982,12,26900,"15,622",debt_consolidation,15000,36,14.08,513,21336,51,,18-Jan
land admin mgr,10,TX,MORTGAGE,"130,000",19.44,1982,29,256654,"96,115",debt_consolidation,40000,36,9.43,"1,280",51316,128,,18-Mar
,,FL,RENT,"9,000",18.86,1982,14,9200,"1,607",other,5000,36,13.59,170,7039,17,,18-Jan
facilities mechanic,10,NC,MORTGAGE,"99,000",17.78,1982,33,338189,"62,959",credit_card,25000,60,6.71,492,33388,49,,18-Feb
advisor,10,CT,OWN,"106,000",16.88,1982,36,377097,"46,875",debt_consolidation,40000,60,11.98,889,63960,89,,18-Mar
,,MA,MORTGAGE,"145,000",16.57,1982,35,506779,"58,807",debt_consolidation,15000,36,5.31,452,17390,45,,18-Feb
cpa,2,TX,MORTGAGE,"65,000",15.44,1982,36,198911,"29,029",debt_consolidation,20000,60,17.09,498,37090,50,,18-Jan
marketing manager,2,WA,RENT,"135,000",14.83,1982,20,138727,"67,030",debt_consolidation,40000,36,5.32,"1,205",46384,120,,18-Feb
manager/server,6,CA,RENT,"38,000",14.53,1982,10,26200,"15,386",debt_consolidation,8300,36,9.43,266,10648,27,,18-Mar
electronic engineer,8,NY,MORTGAGE,"109,000",13.82,1982,28,207658,"25,038",debt_consolidation,20000,36,6.08,609,23648,61,,18-Feb
,,NC,MORTGAGE,"75,000",13.26,1982,21,548130,"18,408",home_improvement,5000,36,6.07,152,5911,15,,18-Mar
director of brand marketing,10,AL,MORTGAGE,"120,000",11.84,1982,20,253959,"41,080",home_improvement,8000,36,5.31,241,9274,24,,18-Feb
owner,10,WA,MORTGAGE,"106,000",11.32,1982,25,289646,"41,763",debt_consolidation,30000,36,11.99,996,40791,100,,18-Jan
sr sys admin,10,CA,MORTGAGE,"129,000",11.14,1982,27,834299,"122,571",other,15000,36,6.07,457,17732,46,,18-Mar
studio manager,10,IL,RENT,"72,000",9.35,1982,15,54954,"31,220",credit_card,16000,36,9.93,516,20766,52,,18-Feb
owner/president,10,CA,MORTGAGE,"150,000",9.1,1982,31,717769,"33,624",debt_consolidation,7000,36,10.41,227,9186,23,,18-Mar
,,FL,OWN,"25,000",9.07,1982,22,39100,"2,993",credit_card,5000,36,9.93,161,6490,16,,18-Feb
vp aquisitions,10,CA,MORTGAGE,"388,000",8.93,1982,18,100722,"65,573",debt_consolidation,35000,36,12.62,"1,173",48251,117,,18-Feb
owner-consultant,10,FL,RENT,"120,000",6.31,1982,11,20300,"13,613",debt_consolidation,10000,36,10.9,327,13270,33,,18-Mar
,,CT,RENT,"82,000",6.2,1982,24,19522,"14,910",debt_consolidation,24000,60,20,636,48000,64,,18-Jan
driver,1,CA,RENT,"70,000",5.49,1982,18,14399,"5,080",credit_card,3800,36,10.9,124,5043,12,,18-Mar
foreman ,10,TN,MORTGAGE,"65,000",4.21,1982,12,129637,"5,099",debt_consolidation,7200,36,7.96,225,8919,23,,18-Mar
office associate,4,NE,MORTGAGE,"36,000",2.03,1982,8,153590,"2,274",other,15000,36,5.32,452,17394,45,,18-Feb
,,TX,MORTGAGE,"9,972",191.7,1983,16,227670,"65,483",debt_consolidation,20000,60,18.06,509,38060,51,,18-Feb
,,TX,MORTGAGE,"25,200",84.68,1983,48,296865,"98,301",credit_card,33300,60,15.05,793,58358,79,,18-Feb
dispatcher,5,NV,MORTGAGE,"30,000",62.48,1983,33,190832,"57,345",home_improvement,32000,36,9.44,"1,024",41062,102,,18-Jan
manager,10,CA,MORTGAGE,"190,000",39.12,1983,43,1065656,"285,109",debt_consolidation,13850,60,21.45,378,28704,38,,18-Jan
family assistance analyst ii,4,NM,RENT,"38,043",38.33,1983,25,129793,"104,031",debt_consolidation,10000,60,9.44,210,14720,21,,18-Jan
,,IL,RENT,"60,000",36.71,1983,46,79789,"49,818",debt_consolidation,6000,36,13.58,204,8444,20,,18-Mar
owner,10,GA,MORTGAGE,"150,000",33.45,1983,29,650351,"164,269",debt_consolidation,40000,36,11.98,"1,328",54376,133,,18-Mar
claims examiner,5,FL,MORTGAGE,"33,500",32.86,1983,27,115494,"37,184",debt_consolidation,10000,36,9.44,320,12832,32,,18-Jan
teacher,10,WA,MORTGAGE,"67,000",32.65,1983,26,264374,"52,656",credit_card,12000,36,11.99,399,16316,40,,18-Feb
nurse practitioner,6,NC,MORTGAGE,"120,000",31.71,1983,37,194209,"94,554",credit_card,27000,36,16.01,949,39968,95,,18-Mar
,,IL,OWN,"43,000",31.37,1983,14,62700,"43,658",debt_consolidation,5000,36,17.47,179,7621,18,,18-Mar
,,NC,MORTGAGE,"72,000",31.22,1983,32,279193,"73,310",debt_consolidation,15000,60,14.07,350,25553,35,,18-Mar
,,OH,MORTGAGE,"50,000",31.08,1983,23,123509,"40,883",debt_consolidation,25000,60,19.42,654,49275,65,,18-Feb
manager,10,FL,RENT,"34,000",30.25,1983,11,55396,"17,136",debt_consolidation,6500,36,12.61,218,8959,22,,18-Mar
teacher,10,MI,MORTGAGE,"67,000",29.6,1983,34,277368,"58,062",credit_card,10000,36,10.42,325,13126,32,,18-Feb
superintendent -customer operations,10,NJ,OWN,"140,000",28.53,1983,40,454500,"177,350",debt_consolidation,15000,36,22.91,580,25310,58,,18-Feb
,,WI,RENT,"12,276",26.78,1983,11,15233,"10,824",credit_card,4000,36,14.08,137,5690,14,,18-Jan
owner,10,TX,OWN,"48,000",25.98,1983,11,452877,"41,355",home_improvement,8000,36,9.44,256,10266,26,,18-Feb
supervisor,2,MI,MORTGAGE,"143,000",25.29,1983,38,375728,"191,615",credit_card,12000,36,7.34,372,14642,37,,18-Mar
,,KY,MORTGAGE,"90,000",25.08,1983,34,108873,"67,047",credit_card,25200,60,11.98,560,40295,56,,18-Mar
administrative assistant,10,PA,OWN,"107,000",25.07,1983,37,449015,"95,800",debt_consolidation,28000,60,15.05,667,49070,67,,18-Feb
senior manager,8,OH,MORTGAGE,"83,000",24.7,1983,26,243855,"50,023",debt_consolidation,30850,36,13.59,"1,048",43428,105,,18-Feb
cfo,4,CO,MORTGAGE,"198,000",24.68,1983,24,776505,"86,150",debt_consolidation,35000,60,15.05,834,61338,83,,18-Feb
fulltime,10,MN,MORTGAGE,"34,000",22.84,1983,20,36256,"17,375",debt_consolidation,7000,36,9.43,224,8980,22,,18-Mar
"assistant director, budget & finance",0,TN,MORTGAGE,"91,000",22.31,1983,33,439313,"94,160",credit_card,40000,36,5.32,"1,205",46384,120,,18-Feb
executive assistant ,0,TX,RENT,"62,000",20.79,1983,10,79977,"30,500",debt_consolidation,9000,36,6.08,274,10642,27,,18-Feb
truck driver,9,MA,MORTGAGE,"120,000",20.66,1983,19,675054,"70,830",house,10000,36,7.97,313,12391,31,,18-Feb
,,TX,OWN,"40,000",20.5,1983,25,206076,"109,326",home_improvement,10000,60,9.92,212,14960,21,,18-Mar
,10,NY,RENT,"200,000",20.18,1983,29,428105,"334,296",debt_consolidation,13000,36,12.62,436,17922,44,,18-Jan
teacher,10,CA,MORTGAGE,"96,000",20.18,1983,28,523150,"101,244",debt_consolidation,16000,36,9.44,512,20531,51,,18-Feb
lpn,3,NC,RENT,"42,000",20.14,1983,25,52160,"25,307",debt_consolidation,6000,36,9.92,193,7786,19,,18-Feb
attorney,10,CA,OWN,"140,000",19.54,1983,23,107921,"72,792",debt_consolidation,20000,36,12.61,670,27566,67,,18-Feb
hr supervisor,10,TX,OWN,"109,000",19.43,1983,36,186785,"68,319",major_purchase,10000,36,6.07,305,11821,30,,18-Mar
"svp, public policy",10,FL,MORTGAGE,"330,000",19.31,1983,38,1223025,"302,550",debt_consolidation,34000,60,13.59,784,57103,78,,18-Feb
manager,3,MD,MORTGAGE,"70,000",18.76,1983,43,161426,"24,212",home_improvement,4800,36,9.43,154,6158,15,,18-Mar
pilot,10,TX,MORTGAGE,"71,487",18.52,1983,17,236141,"61,100",house,6500,36,10.42,211,8532,21,,18-Feb
,,CA,RENT,"31,858",18.12,1983,18,46525,"12,331",debt_consolidation,13000,36,10.41,422,17060,42,,18-Mar
,,CA,OWN,"49,000",17.24,1983,44,75300,"26,067",debt_consolidation,5500,36,10.42,179,7219,18,,18-Jan
technical rep,10,MD,RENT,"67,800",16.34,1983,80,75066,"58,898",debt_consolidation,21000,36,10.42,682,27565,68,,18-Jan
,,MT,OWN,"59,019",16.27,1983,21,200510,"50,117",other,5000,36,7.34,155,6101,16,,18-Mar
attorney,3,PA,MORTGAGE,"180,000",15.76,1983,41,280987,"51,081",debt_consolidation,3000,36,15.04,104,4354,10,,18-Mar
maintence,10,NY,MORTGAGE,"240,000",15.46,1983,34,194829,"124,795",debt_consolidation,28000,36,7.35,869,34174,87,,18-Feb
sr principal consultant,10,TX,MORTGAGE,"194,000",15.07,1983,19,109700,"82,404",home_improvement,24000,36,11.99,797,32633,80,,18-Jan
,,NY,MORTGAGE,"65,000",14.79,1983,25,239065,"27,301",debt_consolidation,17000,36,5.32,512,19713,51,,18-Feb
admin,4,TX,MORTGAGE,"55,000",13,1983,22,216323,"27,587",other,2000,36,5.31,60,2319,6,,18-Mar
attorney,6,VA,MORTGAGE,"162,000",12.9,1983,25,538978,"69,263",credit_card,20000,36,5.31,602,23186,60,,18-Mar
social worker,10,NJ,OWN,"118,000",12.5,1983,42,184166,"176,895",debt_consolidation,16000,36,10.41,519,20997,52,,18-Feb
partner,10,TX,MORTGAGE,"125,000",12.14,1983,24,500837,"40,943",debt_consolidation,40000,36,5.32,"1,205",46384,120,,18-Feb
president & ceo,9,PA,MORTGAGE,"225,000",11.39,1983,59,268023,"79,615",credit_card,30000,36,7.35,931,36615,93,,18-Jan
family skill specialist,4,CA,OWN,"26,000",10.85,1983,7,64964,"12,447",credit_card,24000,60,9.43,503,35316,50,,18-Mar
senior mechanical assembler,3,CA,MORTGAGE,"39,000",10.83,1983,13,406749,"12,329",debt_consolidation,17000,36,13.59,578,23931,58,,18-Jan
supervisor (master of record),10,TX,MORTGAGE,"65,000",9.55,1983,30,156100,"17,592",other,2500,36,6.71,77,3003,8,,18-Mar
vice president of engineering,10,TX,OWN,"180,000",6.59,1983,12,62394,"41,268",medical,3200,36,6.08,97,3784,10,,18-Feb
office administrator,1,NJ,RENT,"39,900",5.89,1983,6,41600,"23,676",debt_consolidation,3000,36,13.59,102,4223,10,,18-Jan
automation engineering manager,10,SC,MORTGAGE,"175,000",4.98,1983,40,471843,"19,987",home_improvement,10000,36,6.72,308,12016,31,,18-Feb
,,GA,MORTGAGE,"70,000",4.15,1983,14,120000,"9,424",debt_consolidation,30000,36,7.97,940,37173,94,,18-Feb
vice president,10,IL,OWN,"100,000",4.04,1983,23,153300,"13,141",debt_consolidation,10000,36,12.62,335,13786,34,,18-Feb
,,CA,MORTGAGE,"60,000",2.3,1983,20,357800,"3,804",house,30000,36,6.08,914,35472,91,,18-Feb
manager,10,TX,OWN,"33,999",1.41,1983,14,237356,"2,409",house,40000,60,9.44,839,58880,84,,18-Feb
,,MN,OWN,"39,000",0.77,1983,10,90000,589,medical,30000,36,7.97,940,37173,94,,18-Feb
office manager,3,CT,MORTGAGE,"24,000",75.45,1984,26,176888,"54,196",debt_consolidation,32000,60,28.72,"1,010",77952,101,,18-Mar
,,AL,MORTGAGE,"50,000",59.68,1984,39,329268,"86,113",debt_consolidation,15000,36,13.59,510,21116,51,,18-Jan
maintenance,10,OH,MORTGAGE,"70,900",42.5,1984,30,105928,"73,196",debt_consolidation,35000,60,26.3,"1,054",81025,105,,18-Jan
processor/underwriter,10,MO,MORTGAGE,"74,106",38.41,1984,37,225748,"70,389",credit_card,7000,36,6.72,215,8411,22,,18-Mar
maintenance,10,OK,OWN,"45,000",37.57,1984,49,125422,"36,705",debt_consolidation,3000,36,15.05,104,4355,10,,18-Feb
,,IL,MORTGAGE,"60,000",35.56,1984,33,317525,"37,882",debt_consolidation,15050,36,19.03,552,23642,55,,18-Feb
general clerk,2,UT,MORTGAGE,"32,000",35.18,1984,28,267138,"40,663",debt_consolidation,20000,36,15.04,694,29024,69,,18-Mar
assistant prosecutor,3,MI,RENT,"75,000",32.93,1984,26,93333,"64,769",credit_card,4000,36,11.99,133,5439,13,,18-Feb
nuclear medicine tech,10,MD,MORTGAGE,"115,000",30.31,1984,42,562169,"116,574",debt_consolidation,32000,60,21.85,881,66960,88,,18-Mar
registered nurse,10,VA,MORTGAGE,"87,000",29.85,1984,17,263599,"92,040",debt_consolidation,24000,60,28.72,758,58464,76,,18-Mar
administrator,10,MI,OWN,"55,000",29.63,1984,50,71229,"42,512",debt_consolidation,22000,60,23.87,631,48257,63,,18-Feb
,,AZ,MORTGAGE,"30,457",29.2,1984,49,81042,"10,628",credit_card,1100,36,11.99,37,1496,4,,18-Feb
owner,2,NY,MORTGAGE,"60,705",28.87,1984,33,78254,"44,559",credit_card,27000,36,14.08,924,38405,92,,18-Feb
administrative assistant ,10,NY,RENT,"50,066",28.4,1984,47,82096,"56,295",debt_consolidation,12000,36,7.96,376,14866,38,,18-Mar
managing member/owner,10,NE,OWN,"300,000",27.82,1984,43,1350311,"346,119",major_purchase,36000,60,9.44,755,52992,76,,18-Jan
quality,10,IN,MORTGAGE,"37,000",27.38,1984,14,168798,"30,399",credit_card,20000,60,10.9,434,30900,43,,18-Feb
sales manager,2,GA,RENT,"40,400",27.17,1984,16,90564,"29,133",debt_consolidation,10500,36,5.32,316,12176,32,,18-Feb
manager,10,GA,OWN,"30,000",26.88,1984,11,44464,"21,820",home_improvement,5000,36,9.44,160,6416,16,,18-Jan
,,WA,MORTGAGE,"56,000",25.7,1984,61,403029,"63,493",home_improvement,14000,36,9.44,448,17965,45,,18-Feb
shift supervisor,10,FL,OWN,"23,000",24.93,1984,6,28100,"17,347",house,6000,36,12.61,201,8270,20,,18-Mar
,,TN,OWN,"55,000",24.09,1984,21,122312,"27,840",other,12000,60,9.44,252,17664,25,,18-Jan
,,CA,RENT,"18,348",24.07,1984,47,64768,"65,759",other,2000,36,10.42,65,2625,6,,18-Jan
analyst,1,NJ,MORTGAGE,"100,000",23.71,1984,30,319690,"129,595",credit_card,15000,36,5.32,452,17394,45,,18-Jan
supervisor ,10,CA,MORTGAGE,"60,000",22.92,1984,29,374897,"48,921",debt_consolidation,15000,60,14.07,350,25553,35,,18-Mar
administrative assistant ,0,FL,RENT,"32,000",22.51,1984,11,22984,"18,420",debt_consolidation,2500,36,7.96,78,3097,8,,18-Mar
teacher,3,AL,MORTGAGE,"70,000",21.98,1984,26,204775,"58,794",major_purchase,1800,36,9.43,58,2309,6,,18-Mar
chef,10,NY,RENT,"52,000",21.75,1984,26,44370,"26,618",credit_card,10000,36,15.04,347,14512,35,,18-Mar
airline captain,10,GA,MORTGAGE,"440,000",21.37,1984,32,780397,"297,186",credit_card,24000,36,9.44,768,30797,77,,18-Jan
,,FL,MORTGAGE,"37,000",21.23,1984,19,88000,"12,782",debt_consolidation,10000,36,11.99,332,13597,33,,18-Feb
regional asset manager,1,NC,MORTGAGE,"65,000",21.07,1984,33,101319,"56,842",debt_consolidation,28000,60,14.08,653,47712,65,,18-Jan
engineer,10,TX,RENT,"128,500",20.57,1984,20,162560,"48,912",debt_consolidation,24000,36,6.72,738,28838,74,,18-Jan
elevator mechanic,1,CA,RENT,"139,200",20.53,1984,51,283785,"37,605",debt_consolidation,10000,36,14.07,342,14221,34,,18-Mar
supervisor,10,UT,MORTGAGE,"71,000",19.99,1984,31,393347,"54,311",debt_consolidation,30000,36,18.06,"1,085",46254,109,,18-Feb
,,MD,MORTGAGE,"56,000",19.95,1984,26,394086,"54,546",debt_consolidation,19475,36,7.97,610,24131,61,,18-Jan
property manager,8,AZ,OWN,"84,000",19.83,1984,11,393452,"60,502",home_improvement,10000,36,16.02,352,14806,35,,18-Jan
loan officer,2,WA,MORTGAGE,"60,000",19.01,1984,17,228786,"41,657",credit_card,11700,36,19.03,429,18380,43,,18-Jan
,,TX,MORTGAGE,"36,000",18.87,1984,19,124134,"17,578",debt_consolidation,15000,36,7.34,466,18303,47,,18-Mar
computer repair consultant,10,AR,MORTGAGE,"24,000",18.85,1984,16,98174,"14,566",home_improvement,4500,36,6.72,138,5407,14,,18-Jan
,,MS,MORTGAGE,"80,000",18.68,1984,36,341682,"16,492",home_improvement,8000,36,5.32,241,9277,24,,18-Feb
operations mgr,5,AL,RENT,"115,000",18.41,1984,11,87993,"55,670",debt_consolidation,30000,60,10.42,644,45630,64,,18-Feb
owner - president,10,MI,MORTGAGE,"100,000",18.28,1984,33,240481,"43,617",debt_consolidation,15000,36,7.96,470,18582,47,,18-Mar
software engineer,0,TX,MORTGAGE,"140,000",18.14,1984,32,327606,"93,408",debt_consolidation,40000,36,5.31,"1,204",46372,120,,18-Mar
attorney,6,CT,MORTGAGE,"220,000",18.01,1984,34,378528,"117,424",home_improvement,24000,36,7.96,752,29731,75,,18-Mar
client account coordinator ,0,OR,OWN,"70,000",17.83,1984,15,246704,"40,676",credit_card,35000,60,17.09,872,64908,87,,18-Jan
business manager,10,MA,RENT,"65,000",17.65,1984,27,109218,"26,805",debt_consolidation,6025,36,5.31,181,6985,18,,18-Mar
lot tech/porter,10,OK,OWN,"34,500",17.6,1984,18,85900,"17,335",debt_consolidation,5500,36,6.71,169,6607,17,,18-Mar
,,CA,MORTGAGE,"125,000",17.38,1984,28,509898,"71,078",credit_card,8000,36,10.9,262,10616,26,,18-Feb
purchasing manager,1,MI,RENT,"75,000",16.43,1984,12,44071,"29,868",credit_card,17500,36,14.08,599,24892,60,,18-Feb
sales manager,4,MA,MORTGAGE,"120,000",15.86,1984,31,799435,"48,926",home_improvement,6000,36,5.31,181,6956,18,,18-Mar
professor,10,CA,MORTGAGE,"137,000",14.16,1984,33,489700,"99,129",debt_consolidation,40000,36,7.35,"1,242",48820,124,,18-Jan
landscaper ,10,MA,MORTGAGE,"55,000",14.07,1984,22,90300,"52,053",debt_consolidation,15000,36,11.99,498,20396,50,,18-Jan
customer service engineer,10,CA,OWN,"100,000",13.73,1984,16,31300,"27,472",debt_consolidation,28525,36,21.45,"1,081",46881,108,,18-Jan
,,WI,MORTGAGE,"75,000",13.34,1984,38,276435,"31,810",credit_card,20000,36,5.32,602,23192,60,,18-Jan
owner/operator,10,AZ,MORTGAGE,"156,000",13.22,1984,28,795502,"75,510",credit_card,40000,36,7.35,"1,242",48820,124,,18-Feb
,,FL,OWN,"22,000",13.05,1984,6,130600,"4,277",debt_consolidation,1925,36,17.47,69,2934,7,,18-Mar
,,CT,MORTGAGE,"56,736",12.56,1984,25,268900,"12,953",debt_consolidation,10000,36,10.42,325,13126,32,,18-Feb
principal,6,MD,MORTGAGE,"325,500",11.37,1984,29,1121174,"82,298",debt_consolidation,24000,36,6.71,738,28831,74,,18-Mar
sales representative,10,NC,MORTGAGE,"130,000",10.84,1984,50,454185,"56,660",credit_card,12000,36,5.32,361,13915,36,,18-Jan
sales leader,10,IL,MORTGAGE,"316,317",10.08,1984,31,499967,"94,966",debt_consolidation,35525,36,11.99,"1,180",48303,118,,18-Feb
managing director,10,CT,MORTGAGE,"389,000",9.78,1984,36,619231,"113,940",credit_card,40000,36,6.07,"1,218",47284,122,,18-Mar
programming manager,2,NY,MORTGAGE,"82,000",9.39,1984,26,449244,"74,738",debt_consolidation,1500,36,7.35,47,1831,5,,18-Jan
,,MN,MORTGAGE,"50,000",8.26,1984,13,17188,"11,645",debt_consolidation,10000,60,14.08,233,17040,23,,18-Feb
manager,2,CT,RENT,"36,000",7.27,1984,9,45700,"44,473",other,5000,36,18.06,181,7709,18,,18-Jan
director of operations ,2,NY,RENT,"200,000",7.11,1984,26,49114,"22,084",debt_consolidation,22000,36,9.93,709,28554,71,,18-Jan
data network consultant,10,MO,MORTGAGE,"125,000",4.31,1984,23,233748,"24,914",debt_consolidation,25000,60,10.41,536,38013,54,,18-Mar
senior inspector,10,CO,MORTGAGE,"88,000",3.67,1984,65,259915,"14,387",credit_card,17000,60,9.43,356,25016,36,,18-Feb
senior accounts payable clerk,10,FL,MORTGAGE,"43,000",1.56,1984,30,45100,860,home_improvement,40000,60,9.43,839,58860,84,,18-Mar
,,VA,MORTGAGE,"10,000",137.52,1985,33,389965,"31,134",credit_card,30000,36,6.08,914,35472,91,,18-Feb
,,UT,OWN,"10,800",92.67,1985,18,52399,"35,789",home_improvement,20000,60,15.05,476,35050,48,,18-Feb
,,MS,MORTGAGE,"25,500",55.44,1985,28,204723,"38,734",debt_consolidation,19300,60,17.47,485,36159,48,,18-Mar
store manager,7,PA,MORTGAGE,"46,000",50.51,1985,28,197513,"58,542",debt_consolidation,22000,60,12.61,496,35871,50,,18-Mar
shade assembler,5,IN,MORTGAGE,"45,000",42.64,1985,26,243108,"47,123",debt_consolidation,24000,60,9.93,509,35916,51,,18-Jan
,,IN,MORTGAGE,"20,076",39.45,1985,20,237326,"37,664",debt_consolidation,22400,60,9.92,475,33510,48,,18-Mar
sales,10,IL,MORTGAGE,"55,000",38.05,1985,37,209191,"58,546",debt_consolidation,10000,36,6.07,305,11821,30,,18-Mar
customer service ,4,WI,MORTGAGE,"46,000",37.44,1985,22,52852,"31,151",other,36000,36,20.39,"1,345",58021,135,,18-Mar
secretary,7,NY,MORTGAGE,"40,000",37.14,1985,42,340257,"50,274",debt_consolidation,30000,60,14.07,699,51105,70,,18-Mar
customer service,10,MD,RENT,"50,000",35.84,1985,20,82609,"43,574",medical,20000,36,7.97,626,24782,63,,18-Feb
customer service supervisor,10,CT,OWN,"62,000",35.5,1985,22,123700,"50,358",credit_card,4800,36,10.41,156,6299,16,,18-Feb
owner,10,PA,MORTGAGE,"125,000",35.15,1985,16,645243,"157,431",home_improvement,20000,36,14.07,684,28442,68,,18-Mar
general manager,2,IN,RENT,"46,650",34.09,1985,29,189591,"180,500",credit_card,10100,36,13.59,343,14218,34,,18-Feb
preschool teacher,0,OH,MORTGAGE,"34,000",33.88,1985,15,71666,"36,556",debt_consolidation,32000,60,12.62,722,52192,72,,18-Feb
